libelle_departement,HT22,HT022,HT122,HT222,HT322,HT422,HT522,HTCH22,HTCH022,HTCH122,HTCH222,HTCH322,HTCH422,HTCH522,CPG22,CPG022,CPG122,CPG222,CPG322,CPG422,CPG522,CPGE22,CPGE022,CPGE122,CPGE222,CPGE322,CPGE422,CPGE522,CPGEL22,CPGEL022,CPGEL122,CPGEL222,CPGEL322,CPGEL422,CPGEL522,CPGEO22,CPGEO022,CPGEO122,CPGEO222,CPGEO322,CPGEO422,CPGEO522,VV22,VVUH22,VVLIT22,RT22,RTUH22,RTLIT22,AJCS22,AJCSUH22,AJCSLIT22,PMUN19,PMUN18,PMUN17,PMUN16,PMUN15,PMUN14,PMUN13,PMUN12,PMUN11,PMUN10,PMUN09,PMUN08,PMUN07,PMUN06,PSDC99,PSDC90,PSDC82,PSDC75,PSDC68,PSDC62,PTOT54,PTOT36,PTOT1931,PTOT1926,PTOT1921,PTOT1911,PTOT1906,PTOT1901,PTOT1896,PTOT1891,PTOT1886,PTOT1881,PTOT1876
Orne,63,30,0,14,18,1,0,1370,529,0,286,532,23,0,38,23,1,9,4,1,0,1559,518,10,448,384,199,0,268,26,0,66,1,175,0,1291,492,10,382,383,24,0,0,0,0,2,321,806,0,0,0,279942,281593,283372,285308,286618,287750,288848,290015,290891,291642,292210,292282,292609,292879,292337,293204,295472,293523,288503,280526,274848.0,269316.0,273702.0,277622.0,274799.0,307418.0,315978.0,326937.0,339147.0,354372.0,367233.0,376111.0,392411.0
Paris,1585,165,23,160,688,456,93,84023,6914,588,6605,31559,30179,8178,1,0,0,0,0,1,0,462,0,0,0,0,462,0,0,0,0,0,0,0,0,462,0,0,0,0,462,0,0,0,0,66,5940,14610,16,1508,4930,2165423,2175601,2187526,2190327,2206488,2220445,2229621,2240621,2249975,2243833,2234105,2211297,2193030,2181371,2125246,2152423,2176243,2299830,2590771,2790091,2850189.0,2829753.0,2891020.0,2871429.0,2906472.0,2888110.0,2763393.0,2714068.0,2536834.0,2447957.0,2344550.0,2269023.0,1990806.0
Pas-de-Calais,204,62,4,48,74,15,1,7924,1643,171,1622,3317,1067,104,202,63,14,72,38,12,3,23641,3900,1679,8064,6466,2355,1177,17150,2943,973,5914,4796,1636,888,6491,957,706,2150,1670,719,289,5,419,1464,11,567,2434,6,219,620,1465278,1466743,1468018,1470725,1472648,1472589,1465205,1463628,1462807,1461387,1461257,1459531,1456726,1453387,1441568,1433203,1412413,1402295,1397099,1366248,1276842.0,1179634.0,1205975.0,1172723.0,990704.0,1069355.0,1013492.0,956466.0,907370.0,875494.0,854787.0,820344.0,794518.0
Puy-de-Dôme,230,73,5,72,66,12,2,6820,1030,223,2167,2447,896,57,124,40,5,22,47,8,2,9503,1662,167,1268,4606,1211,589,711,87,5,165,312,129,13,8792,1575,162,1103,4294,1082,576,20,1259,4669,14,1057,4275,6,220,416,662152,659048,653742,650700,647501,644216,640999,638092,635469,632311,629416,628485,626639,623463,604266,598213,594365,580033,547743,508928,481380.0,486130.0,500590.0,515399.0,490560.0,525916.0,535419.0,544194.0,555078.0,564266.0,570964.0,566064.0,570208.0
Pyrénées-Atlantiques,304,43,3,93,110,46,9,8801,683,81,2174,3178,2138,547,143,36,8,29,45,23,2,13760,1558,292,2014,4705,4476,715,2384,236,43,383,712,762,248,11376,1322,249,1631,3993,3714,467,21,1645,5755,51,3027,12150,3,85,253,682621,679810,677309,673986,670032,667249,664057,660871,656608,653515,650356,647420,643090,636849,600018,578516,555696,534748,508734,466036,420017.0,413409.0,422719.0,414556.0,402981.0,433320.0,425817.0,426347.0,423572.0,425027.0,432999.0,434366.0,431527.0
Pyrénées-Orientales,187,42,5,54,62,22,2,5982,849,200,1623,2247,1014,49,184,13,6,29,71,46,19,34975,924,301,2643,8805,13765,8537,5264,302,19,262,1523,2521,637,29711,622,282,2381,7282,11244,7900,21,2373,9043,65,3495,14816,8,267,1095,479979,476357,474452,474369,471038,466327,462705,457793,452530,448543,445890,441387,437157,432112,392803,363796,334557,299506,281976,251231,230285.0,233347.0,238647.0,229979.0,217503.0,212986.0,213171.0,212121.0,208387.0,210125.0,211187.0,208855.0,197930.0
Rhône,302,63,2,70,110,48,9,17417,1942,141,3523,6699,4427,685,27,14,3,2,2,6,0,2085,516,194,102,242,1031,0,618,198,14,0,112,294,0,1467,318,180,102,130,737,0,1,71,192,38,3773,9989,5,216,584,1875747,1859524,1843319,1835903,1821995,1801885,1779845,1762866,1744236,1725177,1708671,1690498,1677073,1669655,1578869,1508966,1445208,1429647,1326383,1181812,1015866.0,1070218.0,1089568.0,1029098.0,986202.0,947029.0,890074.0,874855.0,870396.0,837524.0,806248.0,772795.0,738024.0
Sarthe,97,32,2,12,44,7,0,3388,702,80,468,1777,361,0,46,11,4,6,19,5,1,3094,333,151,232,1720,520,138,67,9,0,8,27,23,0,3027,324,151,224,1693,497,138,0,0,0,4,368,805,4,109,295,566412,565963,566506,567561,568445,568760,569035,567382,565718,563518,561050,559587,556946,553484,529851,513654,504768,490385,461839,443019,420393.0,388519.0,384619.0,387482.0,389235.0,419370.0,421470.0,422699.0,425077.0,429737.0,436111.0,438917.0,446239.0
Savoie,436,109,7,87,132,59,42,15050,2333,182,2347,5231,3168,1789,97,24,7,30,32,4,0,7239,982,328,2422,2881,626,0,1065,111,30,528,396,0,0,6174,871,298,1894,2485,626,0,84,9398,28712,273,17769,94376,19,1074,3997,436434,433724,431174,429681,428204,426924,423715,421105,418949,414959,411007,408842,405535,403090,373258,348261,323675,305118,288921,266678,252192.0,239115.0,235544.0,231210.0,225234.0,247890.0,253297.0,254781.0,259790.0,263297.0,267428.0,266438.0,268361.0
Saône-et-Loire,170,46,4,43,63,14,0,4611,764,184,1181,1962,520,0,65,27,1,8,23,5,1,4614,1224,28,452,2043,707,160,300,179,0,58,55,8,0,4314,1045,28,394,1988,699,160,0,0,0,2,137,292,2,65,215,551493,552185,553595,555023,555408,555788,556222,555039,555999,555663,554720,553968,551842,549361,544893,559413,571852,569810,550364,535772,511182.0,525676.0,538741.0,549240.0,554816.0,604446.0,613177.0,620360.0,621236.0,618523.0,625885.0,625589.0,614309.0
